Player Full Name,Birth Date,Year Start,Year End,Position,Height,Wingspan,Weight
A.C. Green,04.10.1963,1986,2001,F-C,205.7,,220
A.J. Bramlett,10.01.1977,2000,2000,C,208.3,,227
A.J. English,11.07.1967,1991,1992,G,190.5,,175
A.J. Guyton,12.02.1978,2001,2003,G,185.4,192.4,180
A.J. Hammons,27.08.1992,2017,2017,C,213.4,,260
A.J. Price,07.10.1986,2010,2015,G,188,192.4,181
A.J. Wynder,11.09.1964,1991,1991,G,188,,180
A.W. Holt,26.08.1946,1971,1971,F,200.7,,210
Aaron Brooks,14.01.1985,2008,2018,G,182.9,193,161
Aaron Gordon,16.09.1995,2015,2018,F,205.7,212.7,220
Aaron Gray,07.12.1984,2008,2014,C,213.4,221.6,270
Aaron Harrison,28.10.1994,2016,2017,G,198.1,203.8,210
Aaron James,05.10.1952,1975,1979,F,203.2,,210
Aaron McKie,02.10.1972,1995,2007,G,195.6,,209
Aaron Miles,13.04.1983,2006,2006,G,185.4,191.8,175
Aaron Swinson,09.01.1971,1995,1995,F,195.6,,230
Aaron Williams,02.10.1971,1994,2008,F-C,205.7,,220
Abdel Nader,25.09.1993,2018,2018,F,198.1,,230
Abdul Jeelani,10.02.1954,1980,1981,F-C,203.2,,210
Acie Earl,23.06.1970,1994,1997,F-C,208.3,,240
Acie Law,25.01.1985,2008,2011,G,190.5,199.4,195
Adam Harrington,05.07.1980,2003,2003,G,195.6,,200
Adam Keefe,22.02.1970,1993,2001,F,205.7,,230
Adam Morrison,19.07.1984,2007,2010,F,203.2,208.3,205
Adonal Foyle,09.03.1975,1998,2009,C,208.3,,250
Adonis Jordan,21.08.1970,1994,1999,G,180.3,,170
Adonis Thomas,25.03.1993,2014,2014,F,200.7,215.9,200
Adreian Payne,19.02.1991,2015,2018,F-C,208.3,223.5,237
Adrian Branch,17.11.1963,1987,1990,F-G,200.7,,185
Adrian Caldwell,04.07.1966,1990,1998,F-C,203.2,,265
Adrian Dantley,28.02.1956,1977,1991,F-G,195.6,,208
Adrian Griffin,04.07.1974,2000,2008,G-F,195.6,,217
Adrian Smith,05.10.1936,1962,1972,G,185.4,,180
Al Attles,07.11.1936,1961,1971,G,182.9,,175
Al Beard,27.04.1942,1968,1968,C,205.7,,200
Al Bianchi,26.03.1932,1957,1966,G,190.5,,185
Al Brightman,22.09.2023,1947,1947,F,188,,195
Al Butler,09.07.1938,1962,1965,G,188,,175
Al Carlson,17.09.1951,1976,1976,C,210.8,,235
Al Cervi,12.02.2017,1950,1953,G-F,180.3,,170
Al Cueto,02.08.1946,1970,1971,C-F,200.7,,230
Al Eberhard,10.05.1952,1975,1978,F,198.1,,225
Al Ferrari,06.07.1933,1956,1963,G-F,193,,190
Al Fleming,05.04.1954,1978,1978,F,200.7,,215
Al Guokas,07.08.2025,1950,1950,F-G,195.6,,200
Al Hairston,11.12.1945,1969,1970,G,185.4,,170
Al Harrington,17.02.1980,1999,2014,F,205.7,,230
Al Henry,09.02.1949,1971,1972,C,205.7,,190
Al Horford,03.06.1986,2008,2018,C-F,208.3,215.3,245
Al Jackson,29.07.1943,1968,1968,G,185.4,,185
Al Jefferson,04.01.1985,2005,2018,C-F,208.3,219.7,289
Al Lucas,04.07.2022,1949,1949,F-G,190.5,,195
Al Lujack,05.10.2020,1947,1947,F,190.5,,220
Al Masino,05.02.2028,1953,1954,G,177.8,,174
Al Miksis,02.02.2028,1950,1950,C,200.7,,210
Al Negratti,12.06.2021,1947,1947,F-C,190.5,,200
Al Roges,25.10.1930,1954,1955,G-F,193,,195
Al Salvadori,06.05.1945,1968,1968,F,205.7,,220
Al Sanders,01.01.1950,1973,1973,F,200.7,,240
Al Skinner,16.06.1952,1975,1980,G,190.5,,190
Al Smith,15.01.1947,1972,1976,G,185.4,,185
Al Thornton,07.12.1983,2008,2011,F,203.2,215.9,220
Al Tucker,24.02.1943,1968,1972,F,203.2,,190
Al Williams,03.02.1948,1971,1971,F,198.1,,200
Al Wood,02.06.1958,1982,1987,G-F,198.1,,193
Alaa Abdelnaby,30.08.1968,1991,1995,F-C,208.3,,240
Alan Anderson,16.10.1982,2006,2017,G-F,198.1,207,220
Alan Hardy,25.05.1957,1981,1982,F,200.7,,195
Alan Henderson,02.12.1972,1996,2007,F,205.7,,235
Alan Ogg,05.07.1967,1991,1993,C,218.4,,240
Alan Sawyer,01.01.2028,1951,1951,F,195.6,,195
Alan Williams,28.01.1993,2016,2017,F-C,203.2,217.8,260
Alando Tucker,11.02.1984,2008,2010,F,198.1,,205
